(0.4390299928551684, 0.7930750661121291), (3.6927907584950415, 0.423572857926235)
(-1.0966824848349015, -3.0111209103844794), (-2.0680849986361602, -1.2487152827498118)
(2.796169371320275, -1.0050864614316986), (0.14197605790744916, -0.5366883659685744)
(0.5750343668680582, 2.5564559042984616), (0.2273097498342489, 2.916464978303676)
(-2.190405464322361, 2.190415432807079), (-0.269256509267354, 2.62297538262254)
(-0.9373098325536517, -1.9401361802479755), (-1.5295672460407879, 0.007419436873949081)
(-0.2133240596449255, 1.5355377379299036), (-1.5234467805805618, 0.9938278758569172)
(-0.674930390534092, 0.16641866105159497), (0.21073506136710485, -2.5289255450356367)
(-1.7737162954640553, -3.014273400131302), (-1.3309360172426024, -1.917403116345966)
(2.9463620753723205, -1.4386056894373045), (1.4032929406329417, -1.7520386219426722)
